Note;f0;L;d;ρ;T0;Ru;Rv;Rφ;ηu;ηv;ηφ;p;xH;MH;KH;RH;x0;y0
C1;32.78;4.647;1.258;7850;905;5.0 × 10−03;5.0 × 10−01;5.0 × 10−03;1.6 × 10−09;1.0 × 10−09;1.6 × 10−09;2.310;0.558;10.95;7.160 × 1007;2.434 × 1005;0.40;1.69
Cd1;34.73;4.400;1.281;7850;945;1.0 × 10−02;5.0 × 10−01;1.0 × 10−02;1.7 × 10−09;1.0 × 10−09;1.7 × 10−09;2.305;0.528;10.89;8.091 × 1007;2.487 × 1005;0.42;1.67
D1;36.79;4.167;1.268;7850;932;1.5 × 10−02;5.0 × 10−01;1.5 × 10−02;1.7 × 10−09;1.0 × 10−09;1.7 × 10−09;2.300;0.500;10.83;9.143 × 1007;2.542 × 1005;0.44;1.65
Dd1;38.98;3.945;1.237;7850;892;2.0 × 10−02;5.0 × 10−01;2.0 × 10−02;1.7 × 10−09;1.0 × 10−09;1.7 × 10−09;2.295;0.473;10.76;1.033 × 1008;2.598 × 1005;0.46;1.63
E1;41.30;3.736;1.197;7850;841;2.5 × 10−02;5.0 × 10−01;2.5 × 10−02;1.7 × 10−09;1.0 × 10−09;1.7 × 10−09;2.291;0.448;10.70;1.168 × 1008;2.655 × 1005;0.48;1.60
F1;43.75;3.538;1.156;7850;789;3.0 × 10−02;5.0 × 10−01;3.0 × 10−02;1.8 × 10−09;1.0 × 10−09;1.8 × 10−09;2.287;0.425;10.64;1.319 × 1008;2.713 × 1005;0.50;1.56
Fd1;46.35;3.350;1.118;7850;744;3.5 × 10−02;5.0 × 10−01;3.5 × 10−02;1.8 × 10−09;1.0 × 10−09;1.8 × 10−09;2.284;0.402;10.58;1.491 × 1008;2.772 × 1005;0.52;1.52
G1;49.11;3.173;1.087;7850;708;4.0 × 10−02;5.0 × 10−01;4.0 × 10−02;1.8 × 10−09;1.0 × 10−09;1.8 × 10−09;2.282;0.381;10.51;1.685 × 1008;2.833 × 1005;0.53;1.48
Ab1;52.03;3.005;1.065;7850;684;4.5 × 10−02;5.0 × 10−01;4.5 × 10−02;1.9 × 10−09;1.0 × 10−09;1.9 × 10−09;2.280;0.361;10.45;1.904 × 1008;2.896 × 1005;0.55;1.44
A1;55.12;2.845;1.052;7850;671;5.0 × 10−02;5.0 × 10−01;5.0 × 10−02;1.9 × 10−09;1.0 × 10−09;1.9 × 10−09;2.278;0.341;10.39;2.152 × 1008;2.959 × 1005;0.56;1.39
Ad1;58.40;2.695;1.046;7850;669;5.5 × 10−02;5.0 × 10−01;5.5 × 10−02;1.9 × 10−09;1.0 × 10−09;1.9 × 10−09;2.277;0.323;10.33;2.431 × 1008;3.024 × 1005;0.57;1.35
B1;61.87;2.552;1.048;7850;676;6.0 × 10−02;5.0 × 10−01;6.0 × 10−02;1.9 × 10−09;1.0 × 10−09;1.9 × 10−09;2.276;0.306;10.26;2.748 × 1008;3.091 × 1005;0.58;1.30
C2;65.55;2.417;1.056;7850;690;6.5 × 10−02;5.0 × 10−01;6.5 × 10−02;2.0 × 10−09;1.0 × 10−09;2.0 × 10−09;2.276;0.290;10.20;3.105 × 1008;3.159 × 1005;0.59;1.26
Cd2;69.45;2.289;1.067;7850;710;7.0 × 10−02;5.0 × 10−01;7.0 × 10−02;2.0 × 10−09;1.0 × 10−09;2.0 × 10−09;2.276;0.275;10.14;3.509 × 1008;3.228 × 1005;0.60;1.22
D2;73.58;2.168;1.081;7850;734;7.5 × 10−02;5.0 × 10−01;7.5 × 10−02;2.0 × 10−09;1.0 × 10−09;2.0 × 10−09;2.277;0.260;10.08;3.965 × 1008;3.299 × 1005;0.61;1.18
Dd2;77.96;2.053;1.096;7850;759;8.0 × 10−02;5.0 × 10−01;8.0 × 10−02;2.1 × 10−09;1.0 × 10−09;2.1 × 10−09;2.278;0.246;10.02;4.481 × 1008;3.371 × 1005;0.61;1.14
